feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,action,reward
0.0,6057.20361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4298.87841796875,0.0,15866.0712890625,0.0,0.0,3047.739990234375,0.0,6.0,0.0
0.0,7401.16748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5197.4111328125,0.0,21084.5234375,0.0,0.0,4017.394287109375,0.0,6.0,0.0
0.0,8009.9111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5411.275390625,0.0,24764.36328125,0.0,0.0,4576.130859375,0.0,6.0,0.0
0.0,5910.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3842.767822265625,0.0,20446.267578125,0.0,0.0,4177.81884765625,0.0,6.0,0.0
0.0,5915.4140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.790771484375,0.0,20501.462890625,0.0,0.0,4260.3603515625,0.0,6.0,0.0
0.0,5822.1552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3762.87548828125,0.0,20124.556640625,0.0,0.0,4215.91455078125,0.0,6.0,0.0
0.0,5835.1025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3819.494384765625,0.0,19655.25390625,0.0,0.0,4036.65673828125,0.0,6.0,0.0
0.0,5813.03857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3818.959228515625,0.0,19959.275390625,0.0,0.0,4035.55908203125,0.0,6.0,0.0
0.0,5870.7177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3836.902099609375,0.0,20406.900390625,0.0,0.0,4179.16162109375,0.0,6.0,0.0
0.0,5826.345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3703.26953125,0.0,20427.591796875,0.0,0.0,4289.1455078125,0.0,6.0,0.0
0.0,5891.9140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3787.5751953125,0.0,20255.16796875,0.0,0.0,4223.947265625,0.0,6.0,0.0
0.0,5894.916015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3865.724609375,0.0,20513.462890625,0.0,0.0,4171.546875,0.0,6.0,0.0
