Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Cluster_1,Cluster_2,Action_Label
0.0,0.0,188.76572,0.0,208.62091,0.0,0.0,0.0,0.0,0.0,0.0,604.8348,57.505726,0.0,0.0,0.0,0,1,8
0.0,13.9476795,50.967014,0.0,18.807758,8.201801,0.0,60.99874,0.0,21.396727,0.0,104.77763,110.29374,5.451507,0.0,0.0,0,2,3
0.0,0.0,35.64004,0.0,105.058136,0.0,0.0,0.0,0.0,0.0,0.0,196.15253,121.019165,0.0,0.0,0.0,0,3,8
0.0,0.0,227.01228,0.0,95.06398,0.0,0.0,127.38555,0.0,186.70187,0.0,223.38057,273.646,0.0,125.32064,0.0,0,4,5
0.0,14.122803,113.93358,0.0,49.064007,0.0,0.0,106.45968,0.0,114.68215,7.6692233,84.23914,96.00603,6.9058843,0.0,0.0,0,5,3
0.0,0.0,138.56662,0.0,23.251577,0.0,0.0,110.84634,0.0,134.9267,0.0,204.63132,213.23274,0.0,221.8269,0.0,0,6,6
0.0,27.126915,207.45273,0.0,0.0,0.0,0.0,0.0,0.0,7.7865596,0.0,237.4772,0.0,3.6846516,0.0,0.0,0,7,9
0.0,0.0,113.7223,0.0,128.96642,0.0,0.0,0.0,0.0,0.0,0.0,285.17838,129.46082,53.550354,4.8095007,0.0,0,8,8
0.0,0.0,231.0666,0.0,101.2544,0.0,0.0,138.9797,0.0,219.59158,0.0,165.91895,180.72525,0.0,168.36023,0.0,0,9,5
0.0,0.0,42.31835,0.0,0.0,0.0,36.38669,53.29093,0.0,0.0,0.0,81.034,75.77461,0.0,9.164403,0.0,0,10,3
0.0,19.406363,171.48169,0.0,0.0,0.0,0.0,74.77943,0.0,84.09775,0.0,250.82797,168.3215,0.0,0.0,0.0,0,11,3
0.0,0.0,32.146572,0.0,0.0,0.0,0.0,57.754467,0.0,85.80913,0.0,110.87348,88.431984,0.0,138.78128,0.0,0,12,6
0.0,38.751564,85.05305,0.0,1.9768008,0.0,0.0,79.21297,0.0,68.7904,0.0,141.59158,111.42327,3.513002,0.0,0.0,0,13,3
0.0,9.743935,183.02391,0.0,0.0,0.0,0.0,93.559044,0.0,118.12781,0.0,192.18199,98.12743,0.0,0.0,0.0,0,14,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.75153,244.23552,0.0,309.23926,0.0,0,15,5
0.0,0.0,53.5769,0.0,177.04701,0.0,0.0,0.0,0.0,0.0,0.0,189.5592,0.0,18.98146,117.24358,0.0,0,16,5
